system:index,Name,altitudeMo,classification,descriptio,extrude,icon,tessellate,visibility,.geo
20170124T051101_20170124T052233_T43PFP_00000000000000000000_56,AlanahalliKere,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.7082274355585,12.283073612884197]}"
20170124T051101_20170124T052233_T43PFP_00000000000000000000_57,AlanahalliKere,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.70629541269615,12.282814474590596]}"
20170124T051101_20170124T052233_T43PFP_00000000000000000000_58,AlanahalliKere,,2,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.70657116615337,12.282812755927203]}"
20170124T051101_20170124T052233_T43PFP_00000000000000000000_59,AlanahalliKere,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.706846919569,12.282811036986399]}"
20170124T051101_20170124T052233_T43PFP_00000000000000000000_60,AlanahalliKere,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.70712267294306,12.282809317768182]}"
20170124T051101_20170124T052233_T43PFP_00000000000000000000_61,AlanahalliKere,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.70739842627553,12.282807598272553]}"
20170124T051101_20170124T052233_T43PFP_00000000000000000000_62,AlanahalliKere,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.70767417956641,12.282805878499511]}"
20170124T051101_20170124T052233_T43PFP_00000000000000000000_63,AlanahalliKere,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.7079499328157,12.282804158449059]}"
20170124T051101_20170124T052233_T43PFP_00000000000000000000_64,AlanahalliKere,,4,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.70822568602335,12.282802438121195]}"
20170124T051101_20170124T052233_T43PFP_00000000000000000000_65,AlanahalliKere,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.70629366517718,12.282543299548248]}"
20170124T051101_20170124T052233_T43PFP_00000000000000000000_66,AlanahalliKere,,1,,0,,1,-1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.70656941835232,12.282541580923942]}"
